Site_Code,Orchard_Area_m2,Time_Point,Calendar_Date,Site_Letters_in_Supplement,Ag_250m,Forest_250m,Open_250m,Other_250m,WetShrub_250m,Urban_250m,Apples_250m,Ag_500m,Forest_500m,Open_500m,Other_500m,WetShrub_500m,Urban_500m,Apples_500m,Ag_750m,Forest_750m,Open750m,Other_750m,ShrubWet_750m,Urban_750m,Apples_750m,Ag_1000m,Forest_1000m,Open_1000m,Other_1000m,ShrubWet_1000m,Urban_1000m,Apples_1000m,Ag_1250m,Forest_1250m,Open_1250m,Other_1250m,ShrubWet_1250m,Urban_1250m,Apples_1250m,Ag_1500m,Forest_1500m,Open_1500m,Other_1500m,ShrubWet_1500m,Urban_1500m,Apples_1500m,Ag_1750,Forest_1750m,Open_1750m,Other_1750m,ShrubWet_1750m,Urban_1750m,Apples_1750m,Ag_2000m,Forest_2000m,Open_2000m,Other_2000m,ShrubWet_2000m,Urban_2000m,Apples_2000m,Total_Emerged_Males,Total_Emerged_Females,Proportion_Female_Offspring,Ave_F_Weight_g,Ave_M_Weight_g,Proportion_Larval_Mortality,Temp_C,Nest_Tubes for_Offspring_Analysis,Nest_Tubes_for_Pollen_Analysis,Total_Pollen_Provisions_Analyzed,Fungicide_Risk_Ave%HQ,Insecticide_Risk_Ave%HQ,Herb_Risk_Ave%HQ,Prop_Vitaceae,Prop_Caprifoliaceae,Prop_Rhamnaceae,Prop_Cornaceae,Prop_Brassicaceae,Prop_Oleaceae,Prop_Adoxaceae,Prop_Onagraceae,Prop_Fabaceae,Prop_Juglandaceae,Prop_Rosaceae,Floral_Fam_Richness,Floral_Shannon_Diversity,Floral_Evenness
LA,168095.886,3,6/4/15,k,0.027272727,0.163636364,0.586363636,0.004545455,0.145454545,0.072727273,0,0.051664753,0.42250287,0.261768083,0.029850746,0.182548794,0.051664753,0,0.062755102,0.384693878,0.15,0.155612245,0.187244898,0.059693878,0,0.096137339,0.350214592,0.109871245,0.241773963,0.15565093,0.046351931,0,0.103726822,0.328254085,0.107031393,0.286029007,0.133835139,0.041123554,0.000183587,0.102740599,0.309878904,0.101465902,0.33486297,0.112045889,0.039005736,0.000509879,0.108823805,0.283054178,0.102367362,0.37391223,0.097314494,0.034527931,0.000374287,0.140083118,0.250931499,0.101748352,0.389509888,0.084623101,0.033104041,0.000286615,16,11,0.407407407,0.055695556,0.026407778,0.038461538,16.77430556,4,2,13,0.007505054,49.84049691,0.0272,0.676672384,0.018010292,0.174099485,0,0.017152659,0,0,0.011149228,0,0.01457976,0.088336192,7,1.036847993,0.532834465
LF,250577.172,1,5/20/15,l,0.728110599,0.138248848,0.078341014,0,0.055299539,0,0.433179724,0.414466131,0.289322618,0.107921929,0.004592423,0.123995408,0.059701493,0.242250287,0.264496439,0.240081384,0.185147508,0.02543235,0.100712106,0.184130214,0.110885046,0.201088513,0.179031796,0.226009739,0.059868233,0.086794615,0.247207104,0.064737897,0.186950147,0.157807918,0.224706745,0.105388563,0.078995601,0.246151026,0.042705279,0.194320642,0.143130014,0.208710047,0.165414491,0.070673628,0.217751178,0.02979753,0.209515782,0.143017702,0.17261403,0.224220287,0.061253161,0.189379039,0.022197246,0.209583841,0.156435785,0.14719576,0.264021202,0.054294105,0.168469307,0.019196333,40,43,0.518072289,0.054529,0.026879,0.142857143,18.26712329,17,2,18,0.192387881,0,0,0.466216216,0.006756757,0.162162162,0,0,0,0,0,0,0,0.364864865,4,1.052402954,0.759148262
LF,250577.172,2,5/28/15,l,0.728110599,0.138248848,0.078341014,0,0.055299539,0,0.433179724,0.414466131,0.289322618,0.107921929,0.004592423,0.123995408,0.059701493,0.242250287,0.264496439,0.240081384,0.185147508,0.02543235,0.100712106,0.184130214,0.110885046,0.201088513,0.179031796,0.226009739,0.059868233,0.086794615,0.247207104,0.064737897,0.186950147,0.157807918,0.224706745,0.105388563,0.078995601,0.246151026,0.042705279,0.194320642,0.143130014,0.208710047,0.165414491,0.070673628,0.217751178,0.02979753,0.209515782,0.143017702,0.17261403,0.224220287,0.061253161,0.189379039,0.022197246,0.209583841,0.156435785,0.14719576,0.264021202,0.054294105,0.168469307,0.019196333,6,0,0,NA,0.029542,0.740740741,23.04255319,2,2,16,0.012913609,62.57125673,0.062745455,0.230508475,0,0.769491525,0,0,0,0,0,0,0,0,2,0.539890007,0.778896636
LF,250577.172,3,6/3/15,l,0.728110599,0.138248848,0.078341014,0,0.055299539,0,0.433179724,0.414466131,0.289322618,0.107921929,0.004592423,0.123995408,0.059701493,0.242250287,0.264496439,0.240081384,0.185147508,0.02543235,0.100712106,0.184130214,0.110885046,0.201088513,0.179031796,0.226009739,0.059868233,0.086794615,0.247207104,0.064737897,0.186950147,0.157807918,0.224706745,0.105388563,0.078995601,0.246151026,0.042705279,0.194320642,0.143130014,0.208710047,0.165414491,0.070673628,0.217751178,0.02979753,0.209515782,0.143017702,0.17261403,0.224220287,0.061253161,0.189379039,0.022197246,0.209583841,0.156435785,0.14719576,0.264021202,0.054294105,0.168469307,0.019196333,3,3,0.5,0.065476667,0.034653333,0,17.25373134,1,1,10,0.009398922,25.36025222,0.029363636,0.767123288,0,0.232876712,0,0,0,0,0,0,0,0,2,0.542729009,0.78299245
LT,202766.29,1,5/23/15,m,0.198156682,0.188940092,0.474654378,0.00921659,0.087557604,0.041474654,0.004608295,0.200228833,0.322654462,0.327231121,0.036613272,0.083524027,0.029748284,0.001144165,0.149109415,0.471246819,0.227480916,0.044783715,0.072773537,0.034605598,0.000508906,0.156991707,0.533600229,0.179582499,0.036888762,0.060337432,0.032599371,0.000285959,0.131902403,0.595487067,0.156301596,0.028802055,0.05907173,0.02843515,0.000183453,0.143949045,0.597579618,0.142420382,0.021528662,0.068025478,0.026496815,0.000127389,0.138043987,0.607299953,0.12784277,0.018156294,0.075713617,0.032943379,9.36E-05,0.139868157,0.583619948,0.135783892,0.016552021,0.080753798,0.043422184,7.17E-05,22,18,0.45,0.057840909,0.030554444,0.037735849,12.6,5,2,19,0.000249317,0.057108498,0,0,0.7,0,0,0,0,0,0,0,0.038709677,0.261290323,3,0.726227178,0.661040465
LT,202766.29,2,5/27/15,m,0.198156682,0.188940092,0.474654378,0.00921659,0.087557604,0.041474654,0.004608295,0.200228833,0.322654462,0.327231121,0.036613272,0.083524027,0.029748284,0.001144165,0.149109415,0.471246819,0.227480916,0.044783715,0.072773537,0.034605598,0.000508906,0.156991707,0.533600229,0.179582499,0.036888762,0.060337432,0.032599371,0.000285959,0.131902403,0.595487067,0.156301596,0.028802055,0.05907173,0.02843515,0.000183453,0.143949045,0.597579618,0.142420382,0.021528662,0.068025478,0.026496815,0.000127389,0.138043987,0.607299953,0.12784277,0.018156294,0.075713617,0.032943379,9.36E-05,0.139868157,0.583619948,0.135783892,0.016552021,0.080753798,0.043422184,7.17E-05,40,24,0.375,0.057747,0.03307,0.057142857,22.86893204,9,2,21,0.011760343,2.236316859,0,0,0.509090909,0,0.174545455,0,0,0,0,0,0,0.316363636,3,1.012474392,0.921593908
LT,202766.29,3,6/6/15,m,0.198156682,0.188940092,0.474654378,0.00921659,0.087557604,0.041474654,0.004608295,0.200228833,0.322654462,0.327231121,0.036613272,0.083524027,0.029748284,0.001144165,0.149109415,0.471246819,0.227480916,0.044783715,0.072773537,0.034605598,0.000508906,0.156991707,0.533600229,0.179582499,0.036888762,0.060337432,0.032599371,0.000285959,0.131902403,0.595487067,0.156301596,0.028802055,0.05907173,0.02843515,0.000183453,0.143949045,0.597579618,0.142420382,0.021528662,0.068025478,0.026496815,0.000127389,0.138043987,0.607299953,0.12784277,0.018156294,0.075713617,0.032943379,9.36E-05,0.139868157,0.583619948,0.135783892,0.016552021,0.080753798,0.043422184,7.17E-05,6,0,0,NA,0.04215,0,17.79885057,1,1,11,0.066196572,50.71216067,0.033381818,0.052631579,0.452631579,0,0,0,0,0,0,0,0,0.494736842,3,0.86192182,0.784555051
OK,13373.953,1,5/21/15,n,0.119266055,0.201834862,0.403669725,0.018348624,0.142201835,0.114678899,0,0.207331042,0.258877434,0.301260023,0.040091638,0.120274914,0.072164948,0,0.162162162,0.303416624,0.231514533,0.056603774,0.131055584,0.115247323,0,0.194779116,0.343660356,0.185025818,0.058232932,0.11761331,0.100688468,0,0.190196438,0.345327703,0.164861392,0.077657426,0.118597393,0.103359648,0,0.200790413,0.333885773,0.154258032,0.080826109,0.124043855,0.106195818,0.000127486,0.207190338,0.319071248,0.149424211,0.09736916,0.118902724,0.108042318,0.000280873,0.20209259,0.302923893,0.155725957,0.116525727,0.119248961,0.103482872,0.000214992,27,65,0.706521739,0.064429091,0.039058889,0.25,16.76595745,16,2,18,0,0.085662747,0,0.043478261,0.652173913,0.213768116,0,0,0,0,0,0,0,0.09057971,4,0.96243812,0.694252352
OK,13373.953,2,5/29/15,n,0.119266055,0.201834862,0.403669725,0.018348624,0.142201835,0.114678899,0,0.207331042,0.258877434,0.301260023,0.040091638,0.120274914,0.072164948,0,0.162162162,0.303416624,0.231514533,0.056603774,0.131055584,0.115247323,0,0.194779116,0.343660356,0.185025818,0.058232932,0.11761331,0.100688468,0,0.190196438,0.345327703,0.164861392,0.077657426,0.118597393,0.103359648,0,0.200790413,0.333885773,0.154258032,0.080826109,0.124043855,0.106195818,0.000127486,0.207190338,0.319071248,0.149424211,0.09736916,0.118902724,0.108042318,0.000280873,0.20209259,0.302923893,0.155725957,0.116525727,0.119248961,0.103482872,0.000214992,82,93,0.531428571,0.063782,0.034524,0.040697674,22.56818182,23,3,31,0,0.042831373,0,0.238970588,0.205882353,0.555147059,0,0,0,0,0,0,0,0,3,0.994169263,0.904931861
OK,13373.953,3,6/4/15,n,0.119266055,0.201834862,0.403669725,0.018348624,0.142201835,0.114678899,0,0.207331042,0.258877434,0.301260023,0.040091638,0.120274914,0.072164948,0,0.162162162,0.303416624,0.231514533,0.056603774,0.131055584,0.115247323,0,0.194779116,0.343660356,0.185025818,0.058232932,0.11761331,0.100688468,0,0.190196438,0.345327703,0.164861392,0.077657426,0.118597393,0.103359648,0,0.200790413,0.333885773,0.154258032,0.080826109,0.124043855,0.106195818,0.000127486,0.207190338,0.319071248,0.149424211,0.09736916,0.118902724,0.108042318,0.000280873,0.20209259,0.302923893,0.155725957,0.116525727,0.119248961,0.103482872,0.000214992,25,14,0.358974359,0.06372125,0.03349,0.138888889,15.39393939,5,2,19,0,0.099939871,0,0.832298137,0.118012422,0,0,0,0,0,0.049689441,0,0,0,3,0.554134762,0.504395197
