Site_Code,Orchard_Area_m2,Time_Point,Calendar_Date,Site_Letters_in_Supplement,Ag_250m,Forest_250m,Open_250m,Other_250m,WetShrub_250m,Urban_250m,Apples_250m,Ag_500m,Forest_500m,Open_500m,Other_500m,WetShrub_500m,Urban_500m,Apples_500m,Ag_750m,Forest_750m,Open750m,Other_750m,ShrubWet_750m,Urban_750m,Apples_750m,Ag_1000m,Forest_1000m,Open_1000m,Other_1000m,ShrubWet_1000m,Urban_1000m,Apples_1000m,Ag_1250m,Forest_1250m,Open_1250m,Other_1250m,ShrubWet_1250m,Urban_1250m,Apples_1250m,Ag_1500m,Forest_1500m,Open_1500m,Other_1500m,ShrubWet_1500m,Urban_1500m,Apples_1500m,Ag_1750,Forest_1750m,Open_1750m,Other_1750m,ShrubWet_1750m,Urban_1750m,Apples_1750m,Ag_2000m,Forest_2000m,Open_2000m,Other_2000m,ShrubWet_2000m,Urban_2000m,Apples_2000m,Total_Emerged_Males,Total_Emerged_Females,Proportion_Female_Offspring,Ave_F_Weight_g,Ave_M_Weight_g,Proportion_Larval_Mortality,Temp_C,Nest_Tubes for_Offspring_Analysis,Nest_Tubes_for_Pollen_Analysis,Total_Pollen_Provisions_Analyzed,Fungicide_Risk_Ave%HQ,Insecticide_Risk_Ave%HQ,Herb_Risk_Ave%HQ,Prop_Vitaceae,Prop_Caprifoliaceae,Prop_Rhamnaceae,Prop_Cornaceae,Prop_Brassicaceae,Prop_Oleaceae,Prop_Adoxaceae,Prop_Onagraceae,Prop_Fabaceae,Prop_Juglandaceae,Prop_Rosaceae,Floral_Fam_Richness,Floral_Shannon_Diversity,Floral_Evenness
IC,97015.009,2,5/30/15,h,0.312217195,0.099547511,0.375565611,0.004524887,0.054298643,0.153846154,0,0.309988519,0.22847302,0.207807118,0.01836969,0.064293915,0.171067738,0,0.292385787,0.23857868,0.193401015,0.01319797,0.086294416,0.176142132,0,0.227090493,0.260882016,0.201317297,0.020332188,0.094215349,0.196162658,0,0.221222691,0.320543418,0.181384248,0.019827428,0.0895906,0.167431614,0.000367175,0.220736212,0.380715832,0.158960642,0.016685773,0.087632149,0.135269392,0.000254745,0.23134538,0.393221608,0.148581593,0.020222826,0.087257747,0.119370845,0.000187248,0.228565289,0.385072703,0.145834826,0.053577824,0.082945348,0.104004011,0.000143256,54,37,0.406593407,0.064325,0.03429,0.068627451,22.6509434,11,3,23,0.004166063,15.24913652,0.017772727,0.734767025,0.225806452,0,0,0,0,0,0.039426523,0,0,0,3,0.68995235,0.628021693
IC,97015.009,3,6/5/15,h,0.312217195,0.099547511,0.375565611,0.004524887,0.054298643,0.153846154,0,0.309988519,0.22847302,0.207807118,0.01836969,0.064293915,0.171067738,0,0.292385787,0.23857868,0.193401015,0.01319797,0.086294416,0.176142132,0,0.227090493,0.260882016,0.201317297,0.020332188,0.094215349,0.196162658,0,0.221222691,0.320543418,0.181384248,0.019827428,0.0895906,0.167431614,0.000367175,0.220736212,0.380715832,0.158960642,0.016685773,0.087632149,0.135269392,0.000254745,0.23134538,0.393221608,0.148581593,0.020222826,0.087257747,0.119370845,0.000187248,0.228565289,0.385072703,0.145834826,0.053577824,0.082945348,0.104004011,0.000143256,12,12,0.5,0.066003333,0.03212,0,14.69847328,3,2,19,0.008421049,13.40490448,0.015609091,0.5221843,0.232081911,0.075085324,0,0,0,0,0,0,0,0.170648464,4,1.174412847,0.847159795
IT,141083.195,1,5/21/15,i,0.142201835,0.279816514,0.348623853,0.009174312,0.128440367,0.091743119,0,0.113402062,0.140893471,0.23024055,0.010309278,0.067583047,0.437571592,0,0.114402451,0.085291113,0.140960163,0.018386108,0.046475996,0.594484168,0,0.155256374,0.105986823,0.153251217,0.016900602,0.056430822,0.512174162,0,0.151231165,0.142043366,0.15784638,0.01414921,0.07662624,0.458103638,0,0.142620444,0.15676778,0.161738465,0.019627836,0.07876625,0.440479225,0,0.117498362,0.177511469,0.144555753,0.01853759,0.079393315,0.462503511,0,0.107782715,0.197506091,0.129568582,0.019134298,0.081482012,0.464526301,0,19,47,0.712121212,0.060667,0.028138,0.147368421,15.78205128,10,2,21,0.001006954,0.028554249,0,0.459854015,0.328467153,0.175182482,0,0,0,0,0,0,0,0.03649635,4,1.14890223,0.828757775
IT,141083.195,2,5/29/15,i,0.142201835,0.279816514,0.348623853,0.009174312,0.128440367,0.091743119,0,0.113402062,0.140893471,0.23024055,0.010309278,0.067583047,0.437571592,0,0.114402451,0.085291113,0.140960163,0.018386108,0.046475996,0.594484168,0,0.155256374,0.105986823,0.153251217,0.016900602,0.056430822,0.512174162,0,0.151231165,0.142043366,0.15784638,0.01414921,0.07662624,0.458103638,0,0.142620444,0.15676778,0.161738465,0.019627836,0.07876625,0.440479225,0,0.117498362,0.177511469,0.144555753,0.01853759,0.079393315,0.462503511,0,0.107782715,0.197506091,0.129568582,0.019134298,0.081482012,0.464526301,0,49,48,0.494845361,0.062988,0.031252,0.087591241,22.86082474,14,3,34,0.000279473,20.7210366,0.022409091,0.306273063,0.468634686,0.084870849,0.040590406,0,0,0,0,0,0.073800738,0.025830258,6,1.343798666,0.749988316
IT,141083.195,3,6/4/15,i,0.142201835,0.279816514,0.348623853,0.009174312,0.128440367,0.091743119,0,0.113402062,0.140893471,0.23024055,0.010309278,0.067583047,0.437571592,0,0.114402451,0.085291113,0.140960163,0.018386108,0.046475996,0.594484168,0,0.155256374,0.105986823,0.153251217,0.016900602,0.056430822,0.512174162,0,0.151231165,0.142043366,0.15784638,0.01414921,0.07662624,0.458103638,0,0.142620444,0.15676778,0.161738465,0.019627836,0.07876625,0.440479225,0,0.117498362,0.177511469,0.144555753,0.01853759,0.079393315,0.462503511,0,0.107782715,0.197506091,0.129568582,0.019134298,0.081482012,0.464526301,0,30,7,0.189189189,0.05162,0.032365,0.178571429,16.34563758,4,2,10,7.57792E-05,3.636587559,0.004172727,0.743542435,0,0,0,0,0,0,0,0,0.057195572,0.199261993,3,0.70542244,0.642103176
KI,102128.403,1,5/23/15,j,0.240740741,0.12962963,0.444444444,0.013888889,0.097222222,0.074074074,0,0.391504018,0.096440873,0.319173364,0.01836969,0.059701493,0.114810563,0,0.46468782,0.113101331,0.249744115,0.028659161,0.051688843,0.092118731,0,0.422515039,0.201374964,0.20653108,0.027499284,0.059581782,0.082497852,0,0.359728091,0.28403454,0.179680323,0.033804887,0.069079552,0.073672607,0.000183722,0.351282378,0.280847263,0.165369402,0.07502871,0.065969121,0.061503126,0.0001276,0.310832319,0.279187342,0.151952064,0.121805074,0.07124801,0.06497519,0.000187248,0.297591743,0.273222477,0.130017202,0.159188647,0.071889335,0.068090596,0.000143349,14,28,0.666666667,0.05167,0.029151,0,14.53813559,5,2,19,0.00045002,0,0,0.134831461,0.486891386,0.097378277,0,0,0,0,0,0,0,0.280898876,4,1.204071584,0.868554052
KI,102128.403,2,5/26/15,j,0.240740741,0.12962963,0.444444444,0.013888889,0.097222222,0.074074074,0,0.391504018,0.096440873,0.319173364,0.01836969,0.059701493,0.114810563,0,0.46468782,0.113101331,0.249744115,0.028659161,0.051688843,0.092118731,0,0.422515039,0.201374964,0.20653108,0.027499284,0.059581782,0.082497852,0,0.359728091,0.28403454,0.179680323,0.033804887,0.069079552,0.073672607,0.000183722,0.351282378,0.280847263,0.165369402,0.07502871,0.065969121,0.061503126,0.0001276,0.310832319,0.279187342,0.151952064,0.121805074,0.07124801,0.06497519,0.000187248,0.297591743,0.273222477,0.130017202,0.159188647,0.071889335,0.068090596,0.000143349,39,8,0.170212766,0.056761667,0.029752,0.172413793,19.85443038,8,3,19,0.00306921,49.49403147,0,0.445767196,0.404761905,0.017195767,0,0.029100529,0,0,0,0,0,0.103174603,5,1.133391174,0.704215531
KI,102128.403,3,5/30/15,j,0.240740741,0.12962963,0.444444444,0.013888889,0.097222222,0.074074074,0,0.391504018,0.096440873,0.319173364,0.01836969,0.059701493,0.114810563,0,0.46468782,0.113101331,0.249744115,0.028659161,0.051688843,0.092118731,0,0.422515039,0.201374964,0.20653108,0.027499284,0.059581782,0.082497852,0,0.359728091,0.28403454,0.179680323,0.033804887,0.069079552,0.073672607,0.000183722,0.351282378,0.280847263,0.165369402,0.07502871,0.065969121,0.061503126,0.0001276,0.310832319,0.279187342,0.151952064,0.121805074,0.07124801,0.06497519,0.000187248,0.297591743,0.273222477,0.130017202,0.159188647,0.071889335,0.068090596,0.000143349,17,3,0.15,0.05523,0.027284444,0.217391304,22.18534483,3,2,17,0.002462537,36.87305344,0,0.345070423,0.492957746,0.084507042,0,0,0,0,0,0,0,0.077464789,4,1.12280178,0.80993028
LA,168095.886,1,5/21/15,k,0.027272727,0.163636364,0.586363636,0.004545455,0.145454545,0.072727273,0,0.051664753,0.42250287,0.261768083,0.029850746,0.182548794,0.051664753,0,0.062755102,0.384693878,0.15,0.155612245,0.187244898,0.059693878,0,0.096137339,0.350214592,0.109871245,0.241773963,0.15565093,0.046351931,0,0.103726822,0.328254085,0.107031393,0.286029007,0.133835139,0.041123554,0.000183587,0.102740599,0.309878904,0.101465902,0.33486297,0.112045889,0.039005736,0.000509879,0.108823805,0.283054178,0.102367362,0.37391223,0.097314494,0.034527931,0.000374287,0.140083118,0.250931499,0.101748352,0.389509888,0.084623101,0.033104041,0.000286615,4,8,0.666666667,0.056561429,0.026975,0.3125,17.41578947,3,2,18,0.097746284,58.62595222,0.068309091,0,0.043771044,0.831649832,0,0,0,0,0,0,0.057239057,0.067340067,4,0.635676472,0.458543647
LA,168095.886,2,5/29/15,k,0.027272727,0.163636364,0.586363636,0.004545455,0.145454545,0.072727273,0,0.051664753,0.42250287,0.261768083,0.029850746,0.182548794,0.051664753,0,0.062755102,0.384693878,0.15,0.155612245,0.187244898,0.059693878,0,0.096137339,0.350214592,0.109871245,0.241773963,0.15565093,0.046351931,0,0.103726822,0.328254085,0.107031393,0.286029007,0.133835139,0.041123554,0.000183587,0.102740599,0.309878904,0.101465902,0.33486297,0.112045889,0.039005736,0.000509879,0.108823805,0.283054178,0.102367362,0.37391223,0.097314494,0.034527931,0.000374287,0.140083118,0.250931499,0.101748352,0.389509888,0.084623101,0.033104041,0.000286615,39,22,0.360655738,0.054695,0.0283411,0.080645161,23.62244898,8,3,34,0.02536485,34.29416285,0.038018182,0,0.100671141,0.755033557,0,0,0,0,0,0,0,0.144295302,3,0.722630007,0.657766179
