date,temp_min,temp_max,temp_mean,precip_in,wind_ms,relh,sky_oktas,precip_mm
2024-04-01,5.0,10.0,7.435400516795866,0.01,0.837466976744186,92.91790697674419,7.674418604651163,0.254
2024-04-02,5.888888888888889,9.000000000000002,7.62059620596206,1.27,2.3714613658536585,99.10829268292683,8.0,32.257999999999996
2024-04-03,2.7777777777777777,7.000000000000001,5.445799457994579,1.12,1.8570173658536586,97.46121951219511,7.512195121951219,28.448
2024-04-04,-1.0000000000000004,8.0,2.013333333333333,0.0,1.27582112,93.5166,4.78,0.0
2024-04-05,1.8888888888888882,5.0,2.913279132791328,0.0,3.011379512195122,72.33780487804877,7.2682926829268295,0.0
2024-04-06,2.000000000000001,10.999999999999998,5.230555555555555,0.0,4.2956074,61.543499999999995,4.0,0.0
2024-04-07,0.0,16.0,7.352777777777779,0.0,1.9677482999999998,49.992000000000004,1.4,0.0
2024-04-08,0.9999999999999984,13.0,6.884823848238482,0.0,0.6524655609756098,57.46048780487805,3.1707317073170733,0.0
2024-04-09,2.999999999999999,24.0,11.615277777777779,0.0,0.9903047,69.25625,1.9,0.0
2024-04-10,14.000000000000002,19.0,16.008130081300813,0.0,1.2672888780487805,72.34390243902439,3.707317073170732,0.0
2024-04-11,13.499999999999998,19.0,15.83739837398374,0.18,2.8733579512195124,90.86756097560976,5.7560975609756095,4.571999999999999
2024-04-12,5.7222222222222205,17.61111111111111,12.340108401084011,1.65,6.31134956097561,87.10756097560976,6.585365853658536,41.91
2024-04-13,4.2777777777777795,12.0,7.168055555555556,0.13,10.3017411,65.16975,4.25,3.302
2024-04-14,5.777777777777777,26.999999999999996,13.390151515151514,0.27,4.407849727272727,59.65568181818182,2.272727272727273,6.858
2024-04-15,10.999999999999998,23.000000000000004,15.205555555555554,0.03,2.9066085999999998,70.1855,3.425,0.7619999999999999
2024-04-16,5.0,23.000000000000004,13.033333333333335,0.0,0.4501385,44.033,0.0,0.0
2024-04-17,9.000000000000002,17.0,12.613821138211382,0.43000000000000005,1.7315432195121951,66.5390243902439,3.707317073170732,10.922
2024-04-18,11.277777777777777,19.0,14.159722222222223,0.15,2.1992481,81.72125,4.85,3.8099999999999996
2024-04-19,9.000000000000002,12.0,10.422764227642276,0.0,1.141814731707317,95.55121951219512,5.902439024390244,0.0
2024-04-20,3.611111111111111,15.0,9.650997150997151,0.0,3.390054051282051,59.60153846153846,3.5384615384615383,0.0
2024-04-21,-1.1111111111111112,8.0,3.290277777777778,0.0,2.5464978,54.219500000000004,2.75,0.0
2024-04-22,-0.7222222222222227,16.0,6.2027777777777775,0.0,2.3535813,49.2325,0.4,0.0
2024-04-23,2.000000000000001,20.0,10.315277777777778,0.0,1.5690542,44.72625,0.0,0.0
2024-04-24,7.11111111111111,16.0,11.808943089430894,0.0,4.253573560975609,60.79731707317073,4.975609756097561,0.0
2024-04-25,2.999999999999999,13.0,7.069444444444445,0.0,2.6365255000000003,51.442499999999995,3.9,0.0
2024-04-26,2.000000000000001,17.0,8.384722222222223,0.0,2.7779976,44.42875,0.2,0.0
2024-04-27,8.0,11.11111111111111,9.416666666666668,0.0,2.3793035,67.24375,3.65,0.0
2024-04-28,9.222222222222221,28.000000000000004,15.705962059620596,0.0,1.242194048780488,79.3429268292683,5.609756097560975,0.0
2024-04-29,14.000000000000002,29.0,20.583333333333332,0.0,1.1717891111111112,63.561666666666675,1.7222222222222223,0.0
2024-04-30,0.0,26.999999999999996,19.366666666666667,0.0,1.8691465333333332,69.89931034482758,2.1333333333333333,0.0
2024-05-01,10.999999999999998,26.0,17.848484848484848,0.0,1.5900996363636364,65.75121212121212,2.909090909090909,0.0
2024-05-02,13.0,29.0,20.866666666666667,0.0,2.7265532,40.70166666666667,0.3333333333333333,0.0
2024-05-03,10.0,24.0,17.5,0.0,1.929165,55.488125,0.25,0.0
2024-05-04,10.0,15.0,11.32258064516129,0.0,1.443762193548387,94.78612903225806,6.709677419354839,0.0
2024-05-05,9.000000000000002,14.000000000000002,11.25,0.0,1.157499,99.32392857142858,8.0,0.0
2024-05-06,12.0,23.000000000000004,16.35483870967742,0.0,0.514444,88.05548387096773,6.387096774193548,0.0
2024-05-07,14.000000000000002,23.000000000000004,17.90909090909091,0.0,1.1691909090909092,79.66303030303031,3.5757575757575757,0.0
2024-05-08,17.0,26.999999999999996,20.545454545454547,0.0,4.396157818181818,67.52393939393939,2.1818181818181817,0.0
2024-05-09,10.0,19.0,13.64864864864865,0.0,2.196814918918919,70.23972972972973,3.72972972972973,0.0
2024-05-10,9.000000000000002,10.0,9.551724137931034,0.0,2.5544805517241382,99.10344827586206,7.931034482758621,0.0
2024-05-11,8.0,15.0,9.935483870967742,0.0,1.5599269677419356,89.86967741935484,7.096774193548387,0.0
2024-05-12,8.0,16.0,10.75,0.0,1.31826275,88.0953125,6.6875,0.0
2024-05-13,5.999999999999998,24.0,13.838709677419354,0.0,1.6594967741935485,72.55516129032259,2.3225806451612905,0.0
2024-05-14,12.0,18.000000000000004,15.4,0.0,0.6687772,80.27,4.666666666666667,0.0
2024-05-15,14.000000000000002,17.0,15.03225806451613,0.0,0.8795332903225807,95.00161290322582,8.0,0.0
2024-05-16,12.0,23.000000000000004,15.736842105263158,0.0,1.069502,85.83421052631579,6.0,0.0
2024-05-17,14.000000000000002,19.0,16.25,0.0,1.543332,82.55857142857143,6.714285714285714,0.0
2024-05-18,15.0,21.0,16.93103448275862,0.0,1.1175852413793104,92.6151724137931,7.310344827586207,0.0
2024-05-19,15.0,24.0,17.903225806451612,0.0,0.8629383225806452,83.92709677419356,5.806451612903226,0.0
2024-05-20,13.0,26.999999999999996,19.79310344827586,0.0,1.4191558620689657,74.87172413793104,2.3448275862068964,0.0
2024-05-21,16.0,28.000000000000004,21.964285714285715,0.0,2.5905929999999997,61.47071428571429,0.2857142857142857,0.0
2024-05-22,17.0,29.0,21.941176470588236,0.0,3.2077096470588238,72.05529411764707,2.235294117647059,0.0
2024-05-23,17.0,25.0,20.870967741935484,0.0,2.2569156129032257,73.36548387096774,3.870967741935484,0.0
2024-05-24,13.0,28.000000000000004,20.28,0.0,1.27582112,60.681999999999995,1.52,0.0
2024-05-25,13.0,26.999999999999996,18.41176470588235,0.0,0.9683651764705883,79.07264705882353,1.8823529411764706,0.0
2024-05-26,15.0,26.0,18.696969696969695,0.0,1.1224232727272727,83.45727272727274,6.0,0.0
2024-05-27,17.0,25.0,19.857142857142858,0.0,2.8110690000000003,86.385,4.928571428571429,0.0
2024-05-28,15.0,21.0,18.05263157894737,0.0,4.359236,67.19578947368421,5.473684210526316,0.0
2024-05-29,10.0,19.0,14.571428571428571,0.0,1.4147210000000001,85.96642857142857,5.571428571428571,0.0
2024-05-30,10.0,19.0,15.0,0.0,2.6711515384615385,54.61076923076923,3.8461538461538463,0.0
2024-05-31,5.0,21.999999999999996,13.733333333333333,0.0,1.0803324,56.436,2.5517241379310347,0.0
2024-06-01,8.0,25.0,16.4375,0.0,0.48229125,56.1171875,2.1333333333333333,0.0
2024-06-02,10.0,24.0,17.22222222222222,0.0,1.4099576296296297,68.66037037037037,4.592592592592593,0.0
2024-06-03,16.0,26.999999999999996,20.75,0.0,0.48229125,73.195625,4.125,0.0
2024-06-04,14.000000000000002,28.000000000000004,21.09090909090909,0.0,1.044477212121212,73.02545454545455,1.9393939393939394,0.0
2024-06-05,20.0,24.0,21.387096774193548,0.0,1.2612175483870967,80.89645161290322,5.935483870967742,0.0
2024-06-06,18.000000000000004,28.000000000000004,21.029411764705884,0.0,2.4511743529411767,62.63647058823529,5.117647058823529,0.0
2024-06-07,14.000000000000002,23.000000000000004,17.606060606060606,0.0,2.728112121212121,69.97606060606061,4.242424242424242,0.0
2024-06-08,10.999999999999998,24.0,17.15625,0.0,2.7329837500000003,64.2709375,4.0,0.0
2024-06-09,15.0,21.999999999999996,17.87878787878788,0.0,3.039896363636364,59.1,3.212121212121212,0.0
2024-06-10,10.999999999999998,20.0,14.647058823529411,0.0,2.012383882352941,70.78,3.235294117647059,0.0
2024-06-11,12.0,19.0,14.181818181818182,0.0,0.7794606060606061,67.24333333333333,6.181818181818182,0.0
2024-06-12,9.000000000000002,25.0,15.93939393939394,0.0,1.4342075151515152,72.44121212121212,1.0909090909090908,0.0
2024-06-13,13.0,29.0,20.29032258064516,0.0,1.676091741935484,62.461612903225806,0.45161290322580644,0.0
2024-06-14,17.0,25.0,19.414529914529915,0.0,1.7148133333333333,78.84410256410257,2.41025641025641,0.0
2024-06-15,13.333333333333334,25.0,17.995833333333334,0.0,0.8488326,73.26575,2.25,0.0
2024-06-16,12.0,26.0,18.195833333333333,0.0,1.1060546,71.437,0.35,0.0
2024-06-17,18.000000000000004,32.0,23.554166666666667,0.0,1.7748318,65.661,1.1,0.0
2024-06-18,18.88888888888889,32.0,24.104336043360433,0.0,0.6901078048780488,76.60609756097561,0.5853658536585366,0.0
2024-06-19,21.666666666666668,31.0,25.369444444444444,0.0,1.3632766,72.284,0.4,0.0
2024-06-20,19.0,32.0,24.302777777777777,0.0,0.9131381000000001,69.89450000000001,0.05,0.0
2024-06-21,19.72222222222222,33.0,25.421409214092144,0.0,0.6524655609756097,75.14829268292682,0.8780487804878049,0.0
2024-06-22,21.0,33.0,25.31878306878307,0.0,0.73492,82.42214285714286,0.8571428571428571,0.0
2024-06-23,20.72222222222222,30.0,23.967391304347824,0.0,2.818258434782609,89.69326086956522,2.652173913043478,0.0
2024-06-24,17.0,26.0,21.074525745257453,0.0,4.0151726829268295,65.32341463414635,2.3902439024390243,0.0
2024-06-25,13.499999999999998,28.000000000000004,19.427777777777777,0.0,1.7362484999999999,66.0645,0.25,0.0
2024-06-26,18.333333333333332,30.0,22.32804232804233,0.27,2.2905006666666665,74.98690476190475,3.3333333333333335,6.858
2024-06-27,16.0,26.0,19.613888888888887,0.0,2.1735259,77.40125,2.25,0.0
2024-06-28,11.88888888888889,25.0,18.077777777777776,0.0,1.6076374999999998,69.43724999999999,0.0,0.0
2024-06-29,20.0,26.0,22.063685636856366,0.02,3.0239269268292683,85.3090243902439,5.073170731707317,0.508
