station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,wind_speed_ms,tmpc,sky_oktas
UNV,2024-04-15 05:53:00,-77.85,40.85,378.0,51.8,51.8,100.0,200.0,5.0,0.0,29.81,,10.0,,CLR,,,,,,,,,,,,,,,51.8,KUNV 150953Z 20005KT 10SM CLR 11/11 A2981,,2.57222,10.999999999999998,0
UNV,2024-04-15 06:53:00,-77.85,40.85,378.0,51.8,51.8,100.0,0.0,0.0,0.0,29.83,,10.0,,FEW,,,,500.0,,,,,,,,,,,51.8,KUNV 151053Z 00000KT 10SM FEW005 11/11 A2983,,0.0,10.999999999999998,2
UNV,2024-04-15 07:53:00,-77.85,40.85,378.0,55.4,55.4,100.0,0.0,0.0,0.0,29.86,,10.0,,SCT,,,,10000.0,,,,,,,,,,,55.4,KUNV 151153Z 00000KT 10SM SCT100 13/13 A2986,,0.0,13.0,4
UNV,2024-04-15 08:53:00,-77.85,40.85,378.0,60.8,55.4,82.37,230.0,5.0,0.0,29.89,,10.0,,SCT,,,,11000.0,,,,,,,,,,,60.8,KUNV 151253Z 23005KT 10SM SCT110 16/13 A2989,,2.57222,16.0,4
UNV,2024-04-15 09:53:00,-77.85,40.85,378.0,62.6,51.8,67.75,0.0,0.0,0.0,29.89,,10.0,,SCT,,,,11000.0,,,,,,,,,,,62.6,KUNV 151353Z 00000KT 10SM SCT110 17/11 A2989,,0.0,17.0,4
UNV,2024-04-15 10:53:00,-77.85,40.85,378.0,66.2,53.6,63.82,,3.0,0.0,29.9,,10.0,,SCT,SCT,,,3500.0,11000.0,,,,,,,,,,66.2,KUNV 151453Z VRB03KT 10SM SCT035 SCT110 19/12 A2990,,1.543332,19.0,4
UNV,2024-04-15 11:53:00,-77.85,40.85,378.0,69.8,46.4,43.13,330.0,7.0,0.0,29.89,,10.0,,SCT,,,,3500.0,,,,,,,,,,,69.8,KUNV 151553Z 33007KT 10SM SCT035 21/08 A2989,,3.601108,21.0,4
UNV,2024-04-15 12:53:00,-77.85,40.85,378.0,69.8,48.2,46.16,340.0,8.0,0.0,29.89,,10.0,,SCT,,,,5000.0,,,,,,,,,,,69.8,KUNV 151653Z 34008KT 300V360 10SM SCT050 21/09 A2989,,4.115552,21.0,4
UNV,2024-04-15 13:53:00,-77.85,40.85,378.0,69.8,48.2,46.16,280.0,8.0,0.0,29.89,,10.0,15.0,SCT,,,,10000.0,,,,,,,,,,,69.8,KUNV 151753Z 28008G15KT 10SM SCT100 21/09 A2989,,4.115552,21.0,4
UNV,2024-04-15 14:53:00,-77.85,40.85,378.0,71.6,46.4,40.57,290.0,10.0,0.0,29.88,,10.0,16.0,SCT,,,,8500.0,,,,,,,,,,,71.6,KUNV 151853Z 29010G16KT 10SM SCT085 22/08 A2988,,5.14444,21.999999999999996,4
UNV,2024-04-15 15:53:00,-77.85,40.85,378.0,73.4,44.6,35.66,280.0,13.0,0.0,29.87,,10.0,,SCT,,,,9000.0,,,,,,,,,,,73.4,KUNV 151953Z 28013KT 10SM SCT090 23/07 A2987,,6.687772,23.000000000000004,4
UNV,2024-04-15 16:53:00,-77.85,40.85,378.0,73.4,41.0,31.05,290.0,17.0,0.0,29.89,,10.0,23.0,SCT,,,,9000.0,,,,,,,,,,,73.4,KUNV 152053Z 29017G23KT 10SM SCT090 23/05 A2989,,8.745548,23.000000000000004,4
UNV,2024-04-15 17:53:00,-77.85,40.85,378.0,71.6,37.4,28.68,210.0,12.0,0.0,29.9,,10.0,18.0,SCT,,,,9000.0,,,,,,,,,,,71.6,KUNV 152153Z 21012G18KT 10SM SCT090 22/03 A2990,,6.173328,21.999999999999996,4
UNV,2024-04-15 18:53:00,-77.85,40.85,378.0,69.8,33.8,26.43,330.0,9.0,0.0,29.91,,10.0,15.0,CLR,,,,,,,,,,,,,,,69.8,KUNV 152253Z 33009G15KT 10SM CLR 21/01 A2991,,4.629996,21.0,0
UNV,2024-04-15 19:53:00,-77.85,40.85,378.0,66.2,30.2,25.88,330.0,7.0,0.0,29.93,,10.0,15.0,CLR,,,,,,,,,,,,,,,66.2,KUNV 152353Z 33007G15KT 10SM CLR 19/M01 A2993,,3.601108,19.0,0
UNV,2024-04-15 20:53:00,-77.85,40.85,378.0,64.4,30.2,27.55,320.0,8.0,0.0,29.97,,10.0,16.0,CLR,,,,,,,,,,,,,,,64.4,KUNV 160053Z 32008G16KT 10SM CLR 18/M01 A2997,,4.115552,18.000000000000004,0
UNV,2024-04-15 21:53:00,-77.85,40.85,378.0,60.8,28.4,29.06,330.0,13.0,0.0,30.02,,10.0,19.0,CLR,,,,,,,,,,,,,,,60.8,KUNV 160153Z 33013G19KT 10SM CLR 16/M02 A3002,,6.687772,16.0,0
UNV,2024-04-15 22:15:00,-77.85,40.85,378.0,58.3,27.0,29.99,340.0,10.0,0.0,30.04,,10.0,18.0,CLR,,,,,,,,,,,,,,,58.3,KUNV 160215Z AUTO 34010G18KT 10SM CLR 15/M03 A3004 RMK AO2 T01461028,,5.14444,14.61111111111111,0
UNV,2024-04-15 22:35:00,-77.85,40.85,378.0,57.0,28.0,32.75,340.0,11.0,0.0,30.05,,10.0,,CLR,,,,,,,,,,,,,,,57.0,KUNV 160235Z AUTO 34011KT 10SM CLR 14/M02 A3005 RMK AO2 T01381022,,5.6588840000000005,13.88888888888889,0
UNV,2024-04-15 22:55:00,-77.85,40.85,378.0,55.8,28.8,35.34,350.0,9.0,0.0,30.06,,10.0,,CLR,,,,,,,,,,,,,,,55.8,KUNV 160255Z AUTO 35009KT 320V020 10SM CLR 13/M02 A3006 RMK AO2 T01321018,,4.629996,13.222222222222221,0
UNV,2024-04-15 23:15:00,-77.85,40.85,378.0,54.3,29.0,37.63,10.0,5.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,54.3,KUNV 160315Z AUTO 01005KT 10SM CLR 12/M02 A3007 RMK AO2 T01241016,,2.57222,12.388888888888888,0
UNV,2024-04-15 23:35:00,-77.85,40.85,378.0,53.0,29.3,39.95,360.0,4.0,0.0,30.07,,10.0,,SCT,,,,11000.0,,,,,,,,,,,53.0,KUNV 160335Z AUTO 36004KT 10SM SCT110 12/M01 A3007 RMK AO2 T01171015,,2.057776,11.666666666666666,4
UNV,2024-04-15 23:55:00,-77.85,40.85,378.0,53.2,29.3,39.66,10.0,3.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,53.2,KUNV 160355Z AUTO 01003KT 10SM CLR 12/M01 A3007 RMK AO2 T01181015,,1.543332,11.777777777777779,0
UNV,2024-04-16 00:15:00,-77.85,40.85,378.0,53.0,29.0,39.47,0.0,0.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,53.0,KUNV 160415Z AUTO 00000KT 10SM CLR 12/M02 A3007 RMK AO2 T01161017,,0.0,11.666666666666666,0
UNV,2024-04-16 00:35:00,-77.85,40.85,378.0,53.0,28.8,39.15,0.0,0.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,53.0,KUNV 160435Z AUTO 00000KT 10SM CLR 12/M02 A3007 RMK AO2 T01171018,,0.0,11.666666666666666,0
UNV,2024-04-16 00:55:00,-77.85,40.85,378.0,50.7,29.0,42.96,0.0,0.0,0.0,30.08,,10.0,,CLR,,,,,,,,,,,,,,,50.7,KUNV 160455Z AUTO 00000KT 10SM CLR 10/M02 A3008 RMK AO2 T01041017,,0.0,10.388888888888891,0
UNV,2024-04-16 01:15:00,-77.85,40.85,378.0,52.7,29.0,39.91,0.0,0.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,52.7,KUNV 160515Z AUTO 00000KT 10SM CLR 12/M02 A3009 RMK AO2 T01151017,,0.0,11.500000000000002,0
UNV,2024-04-16 01:35:00,-77.85,40.85,378.0,50.4,30.6,46.37,0.0,0.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,50.4,KUNV 160535Z AUTO 00000KT 10SM CLR 10/M01 A3009 RMK AO2 T01021008,,0.0,10.222222222222221,0
UNV,2024-04-16 01:55:00,-77.85,40.85,378.0,50.0,30.2,46.31,280.0,3.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,50.0,KUNV 160555Z AUTO 28003KT 10SM CLR 10/M01 A3009 RMK AO2 T01011010 10189 20100,,1.543332,10.0,0
UNV,2024-04-16 02:15:00,-77.85,40.85,378.0,46.6,29.5,51.12,0.0,0.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,46.6,KUNV 160615Z AUTO 00000KT 10SM CLR 08/M01 A3010 RMK AO2 T00811014,,0.0,8.11111111111111,0
UNV,2024-04-16 02:35:00,-77.85,40.85,378.0,47.3,29.3,49.38,0.0,0.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,47.3,KUNV 160635Z AUTO 00000KT 10SM CLR 09/M01 A3010 RMK AO2 T00851015,,0.0,8.499999999999998,0
UNV,2024-04-16 02:55:00,-77.85,40.85,378.0,47.7,29.0,48.05,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,47.7,KUNV 160655Z AUTO 00000KT 10SM CLR 09/M02 A3011 RMK AO2 T00871017,,0.0,8.722222222222223,0
UNV,2024-04-16 03:15:00,-77.85,40.85,378.0,45.7,29.5,52.89,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,45.7,KUNV 160715Z AUTO 00000KT 10SM CLR 08/M01 A3011 RMK AO2 T00761014,,0.0,7.6111111111111125,0
UNV,2024-04-16 03:35:00,-77.85,40.85,378.0,46.0,30.7,54.91,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,46.0,KUNV 160735Z AUTO 00000KT 10SM CLR 08/M01 A3011 RMK AO2 T00771007,,0.0,7.777777777777778,0
UNV,2024-04-16 03:55:00,-77.85,40.85,378.0,45.7,30.0,53.98,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,45.7,KUNV 160755Z AUTO 00000KT 10SM CLR 08/M01 A3011 RMK AO2 T00761012,,0.0,7.6111111111111125,0
UNV,2024-04-16 04:15:00,-77.85,40.85,378.0,43.0,30.0,59.83,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,43.0,KUNV 160815Z AUTO 00000KT 10SM CLR 06/M01 A3011 RMK AO2 T00621012,,0.0,6.111111111111111,0
UNV,2024-04-16 04:35:00,-77.85,40.85,378.0,44.6,31.0,58.62,0.0,0.0,0.0,30.12,,10.0,,CLR,,,,,,,,,,,,,,,44.6,KUNV 160835Z AUTO 00000KT 10SM CLR 07/M01 A3012 RMK AO2 T00701006,,0.0,7.000000000000001,0
UNV,2024-04-16 04:55:00,-77.85,40.85,378.0,44.0,31.0,59.97,0.0,0.0,0.0,30.12,,10.0,,CLR,,,,,,,,,,,,,,,44.0,KUNV 160855Z AUTO 00000KT 10SM CLR 07/00 A3012 RMK AO2 T00661005,,0.0,6.666666666666667,0
UNV,2024-04-16 05:15:00,-77.85,40.85,378.0,43.3,31.3,62.35,0.0,0.0,0.0,30.13,,10.0,,CLR,,,,,,,,,,,,,,,43.3,KUNV 160915Z AUTO 00000KT 10SM CLR 06/00 A3013 RMK AO2 T00631004,,0.0,6.277777777777776,0
UNV,2024-04-16 05:35:00,-77.85,40.85,378.0,42.8,31.5,64.08,0.0,0.0,0.0,30.14,,10.0,,CLR,,,,,,,,,,,,,,,42.8,KUNV 160935Z AUTO 00000KT 10SM CLR 06/00 A3014 RMK AO2 T00601003,,0.0,5.999999999999998,0
UNV,2024-04-16 05:53:00,-77.85,40.85,378.0,42.8,32.0,65.38,0.0,0.0,0.0,30.15,,10.0,,CLR,,,,,,,,,,,,,,,42.8,KUNV 160953Z 00000KT 10SM CLR 06/00 A3015,,0.0,5.999999999999998,0
UNV,2024-04-16 06:53:00,-77.85,40.85,378.0,41.0,32.0,70.08,0.0,0.0,0.0,30.16,,10.0,,CLR,,,,,,,,,,,,,,,41.0,KUNV 161053Z 00000KT 10SM CLR 05/00 A3016,,0.0,5.0,0
UNV,2024-04-16 07:53:00,-77.85,40.85,378.0,44.6,33.8,65.61,0.0,0.0,0.0,30.19,,10.0,,CLR,,,,,,,,,,,,,,,44.6,KUNV 161153Z 00000KT 10SM CLR 07/01 A3019,,0.0,7.000000000000001,0
UNV,2024-04-16 08:53:00,-77.85,40.85,378.0,50.0,33.8,53.54,0.0,0.0,0.0,30.2,,10.0,,CLR,,,,,,,,,,,,,,,50.0,KUNV 161253Z 00000KT 10SM CLR 10/01 A3020,,0.0,10.0,0
UNV,2024-04-16 09:53:00,-77.85,40.85,378.0,55.4,33.8,43.9,0.0,0.0,0.0,30.2,,10.0,,CLR,,,,,,,,,,,,,,,55.4,KUNV 161353Z 00000KT 10SM CLR 13/01 A3020,,0.0,13.0,0
UNV,2024-04-16 10:53:00,-77.85,40.85,378.0,59.0,32.0,35.87,200.0,4.0,0.0,30.2,,10.0,,CLR,,,,,,,,,,,,,,,59.0,KUNV 161453Z 20004KT 10SM CLR 15/00 A3020,,2.057776,15.0,0
UNV,2024-04-16 11:53:00,-77.85,40.85,378.0,62.6,33.8,33.93,170.0,5.0,0.0,30.18,,10.0,,CLR,,,,,,,,,,,,,,,62.6,KUNV 161553Z 17005KT 10SM CLR 17/01 A3018,,2.57222,17.0,0
UNV,2024-04-16 12:53:00,-77.85,40.85,378.0,64.4,35.6,34.22,0.0,0.0,0.0,30.16,,10.0,,CLR,,,,,,,,,,,,,,,64.4,KUNV 161653Z 00000KT 10SM CLR 18/02 A3016,,0.0,18.000000000000004,0
UNV,2024-04-16 13:53:00,-77.85,40.85,378.0,68.0,33.8,28.11,0.0,0.0,0.0,30.15,,10.0,,CLR,,,,,,,,,,,,,,,68.0,KUNV 161753Z 00000KT 10SM CLR 20/01 A3015,,0.0,20.0,0
UNV,2024-04-16 14:53:00,-77.85,40.85,378.0,69.8,37.4,30.49,,3.0,0.0,30.13,,10.0,,CLR,,,,,,,,,,,,,,,69.8,KUNV 161853Z VRB03KT 10SM CLR 21/03 A3013,,1.543332,21.0,0
UNV,2024-04-16 15:53:00,-77.85,40.85,378.0,71.6,35.6,26.71,230.0,3.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,71.6,KUNV 161953Z 23003KT 10SM CLR 22/02 A3011,,1.543332,21.999999999999996,0
UNV,2024-04-16 16:53:00,-77.85,40.85,378.0,73.4,35.6,25.13,0.0,0.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,73.4,KUNV 162053Z 00000KT 10SM CLR 23/02 A3009,,0.0,23.000000000000004,0
UNV,2024-04-16 17:53:00,-77.85,40.85,378.0,73.4,35.6,25.13,0.0,0.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,73.4,KUNV 162153Z 00000KT 10SM CLR 23/02 A3007,,0.0,23.000000000000004,0
UNV,2024-04-16 18:53:00,-77.85,40.85,378.0,73.4,30.2,20.23,0.0,0.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,73.4,KUNV 162253Z 00000KT 10SM CLR 23/M01 A3007,,0.0,23.000000000000004,0
UNV,2024-04-16 19:53:00,-77.85,40.85,378.0,69.8,32.0,24.59,0.0,0.0,0.0,30.08,,10.0,,CLR,,,,,,,,,,,,,,,69.8,KUNV 162353Z 00000KT 10SM CLR 21/00 A3008,,0.0,21.0,0
UNV,2024-04-16 20:53:00,-77.85,40.85,378.0,68.0,33.8,28.11,0.0,0.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,68.0,KUNV 170053Z 00000KT 10SM CLR 20/01 A3010,,0.0,20.0,0
UNV,2024-04-16 21:53:00,-77.85,40.85,378.0,62.6,35.6,36.45,220.0,3.0,0.0,30.12,,10.0,,CLR,,,,,,,,,,,,,,,62.6,KUNV 170153Z 22003KT 10SM CLR 17/02 A3012,,1.543332,17.0,0
UNV,2024-04-16 22:15:00,-77.85,40.85,378.0,61.3,37.0,40.34,0.0,0.0,0.0,30.12,,10.0,,CLR,,,,,,,,,,,,,,,61.3,KUNV 170215Z AUTO 00000KT 10SM CLR 16/03 A3012 RMK AO2 LTG DSNT W T01630028,,0.0,16.27777777777778,0
UNV,2024-04-16 22:35:00,-77.85,40.85,378.0,61.7,36.7,39.3,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,61.7,KUNV 170235Z AUTO 00000KT 10SM CLR 17/03 A3011 RMK AO2 T01650026,,0.0,16.5,0
UNV,2024-04-16 22:55:00,-77.85,40.85,378.0,61.0,36.5,39.97,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,61.0,KUNV 170255Z AUTO 00000KT 10SM CLR 16/03 A3011 RMK AO2 T01610025,,0.0,16.11111111111111,0
UNV,2024-04-16 23:15:00,-77.85,40.85,378.0,60.0,34.7,38.56,80.0,3.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,60.0,KUNV 170315Z AUTO 08003KT 10SM CLR 16/02 A3010 RMK AO2 T01560015,,1.543332,15.555555555555555,0
