"Location_Code","col","row","lon","lat","spring_resource_quality"
"ALY",1102,279,-79.0833333333296,38.2916666666678,0.391990789941465
"AWR",1128,267,-77.9999999999962,38.7916666666678,0.513984943472883
"BIL",1113,276,-78.6249999999963,38.4166666666678,0.384117078749729
"BTH",1116,287,-78.4999999999963,37.9583333333344,0.576656479004384
"BWB",1160,284,-76.6666666666628,38.0833333333344,0.440486219766884
"CBM",1113,286,-78.6249999999963,38.0000000000011,0.564527818138475
"CDJ",1118,268,-78.4166666666629,38.7500000000011,0.475563028078209
"CMC",1117,282,-78.4583333333296,38.1666666666678,0.525179319886122
"CTM",1112,285,-78.666666666663,38.0416666666677,0.572997508406842
"CYM",1126,260,-78.0833333333296,39.0833333333345,0.398419090350272
"DWH",1129,271,-77.9583333333296,38.6250000000011,0.538583604773836
"GBE",1139,259,-77.5416666666629,39.1250000000012,0.471055299028207
"GSD",1119,261,-78.3749999999963,39.0416666666678,0.446354011053213
"GTL",1115,284,-78.5416666666629,38.0833333333344,0.479400115964214
"HBT",1120,254,-78.3333333333296,39.3333333333345,0.571726212567405
"HCA",1109,285,-78.791666666663,38.0416666666677,0.55824432369035
"HIM",1054,313,-81.0833333333298,36.875000000001,0.651751403422825
"HMH",1124,258,-78.1666666666629,39.1666666666678,0.453913151721884
"HPY",1149,279,-77.1249999999962,38.2916666666678,0.60797413692796
"IIF",1123,277,-78.2083333333296,38.3750000000011,0.510721293115667
"IOO",1081,316,-79.9583333333297,36.750000000001,0.559520406741854
"KID",1128,258,-77.9999999999962,39.1666666666678,0.429989090128551
"LER",1070,304,-80.4166666666631,37.250000000001,0.479294035537646
"LHF",1138,297,-77.5833333333295,37.5416666666677,0.501598275257087
"LJS",1116,285,-78.4999999999963,38.0416666666677,0.471451167982039
"LLI",1146,265,-77.2499999999962,38.8750000000011,0.520332264565616
"LTG",1070,304,-80.4166666666631,37.250000000001,0.479294035537646
"LVA",1121,262,-78.2916666666629,39.0000000000012,0.491065966496183
"LYB",1114,284,-78.5833333333296,38.0833333333344,0.534621023291363
"MOL",1145,267,-77.2916666666628,38.7916666666678,0.530057280509262
"NRM",1150,264,-77.0833333333295,38.9166666666678,0.498404152364993
"NSD",1081,316,-79.9583333333297,36.750000000001,0.559520406741854
"OLS",1123,258,-78.2083333333296,39.1666666666678,0.459821201455505
"RTR",1140,261,-77.4999999999962,39.0416666666678,0.482031345267753
"SDD",1098,283,-79.2499999999963,38.1250000000011,0.63899053786312
"SDN",1107,275,-78.8749999999963,38.4583333333344,0.429721328611996
"SGN",1116,264,-78.4999999999963,38.9166666666678,0.398214385601857
"SIW",1118,264,-78.4166666666629,38.9166666666678,0.529740471831977
"SVN",1151,268,-77.0416666666628,38.7500000000011,0.444193142959632
"SWG",1107,275,-78.8749999999963,38.4583333333344,0.429721328611996
"TCY",1144,267,-77.3333333333295,38.7916666666678,0.596838566431879
"THM",1130,294,-77.9166666666629,37.6666666666677,0.532278869380946
"TLW",1071,305,-80.3749999999964,37.2083333333343,0.566879728613364
"TMH",1125,261,-78.1249999999962,39.0416666666678,0.377969531476488
"TNT",1112,284,-78.666666666663,38.0833333333344,0.456606804989822
"TOW",1123,277,-78.2083333333296,38.3750000000011,0.510721293115667
"TTH",1145,266,-77.2916666666628,38.8333333333345,0.509212714169081
"TVM",1121,254,-78.2916666666629,39.3333333333345,0.600661406553378
"TVS",1131,259,-77.8749999999962,39.1250000000012,0.55832415767671
"TYT",1071,304,-80.3749999999964,37.250000000001,0.571693921401559
"ULG",1069,304,-80.4583333333298,37.250000000001,0.581940530767211
"VIH",1120,252,-78.3333333333296,39.4166666666679,0.659656437498216
"WCH",1116,279,-78.4999999999963,38.2916666666678,0.529905214697331
"WOS",1074,304,-80.2499999999964,37.250000000001,0.62905385473622
"WOY",1108,288,-78.8333333333296,37.9166666666677,0.578252610687228
"WTW",1124,257,-78.1666666666629,39.2083333333345,0.489157779439712
"YWM",1145,262,-77.2916666666628,39.0000000000012,0.568516541740173
