"col","row","lon","lat","spring_resource_quality_2015"
1200,118,-74.999999999996,45.0000000000016,0
1201,118,-74.9583333333293,45.0000000000016,0.0765501214859684
1202,118,-74.9166666666626,45.0000000000016,0.0715712977661973
1203,118,-74.874999999996,45.0000000000016,0.216453526638741
1204,118,-74.8333333333293,45.0000000000016,0.415471553872111
1205,118,-74.7916666666626,45.0000000000016,0.349494170205462
1206,118,-74.749999999996,45.0000000000016,0.335863482157044
1207,118,-74.7083333333293,45.0000000000016,0.353785943346113
1208,118,-74.6666666666626,45.0000000000016,0.447666611208903
1209,118,-74.624999999996,45.0000000000016,0.538847742084992
1210,118,-74.5833333333293,45.0000000000016,0.577305748864887
1211,118,-74.5416666666626,45.0000000000016,0.465582279257213
1212,118,-74.499999999996,45.0000000000016,0.402383090400954
1213,118,-74.4583333333293,45.0000000000016,0.477135602377474
1214,118,-74.4166666666626,45.0000000000016,0.469845760454208
1215,118,-74.3749999999959,45.0000000000016,0.397120265185233
1216,118,-74.3333333333293,45.0000000000016,0.446013550463665
1217,118,-74.2916666666626,45.0000000000016,0.610760221811759
1218,118,-74.2499999999959,45.0000000000016,0.598529844589583
1219,118,-74.2083333333293,45.0000000000016,0.548756671925486
1220,118,-74.1666666666626,45.0000000000016,0.472087688158697
1221,118,-74.1249999999959,45.0000000000016,0.617576211139112
1222,118,-74.0833333333293,45.0000000000016,0.59655947371262
1223,118,-74.0416666666626,45.0000000000016,0.535298354989172
1224,118,-73.9999999999959,45.0000000000016,0.563012508706884
1225,118,-73.9583333333293,45.0000000000016,0.523196464589692
1226,118,-73.9166666666626,45.0000000000016,0.568061325685681
1227,118,-73.8749999999959,45.0000000000016,0.64515221004779
1228,118,-73.8333333333292,45.0000000000016,0.651012996644587
1229,118,-73.7916666666626,45.0000000000016,0.628529436003718
1230,118,-73.7499999999959,45.0000000000016,0.583482886232757
1231,118,-73.7083333333292,45.0000000000016,0.632610702233982
1232,118,-73.6666666666626,45.0000000000016,0.574918638952848
1233,118,-73.6249999999959,45.0000000000016,0.588035138626295
1234,118,-73.5833333333292,45.0000000000016,0.510314214090032
1235,118,-73.5416666666625,45.0000000000016,0.498646764055023
1236,118,-73.4999999999959,45.0000000000016,0.371516006920809
1237,118,-73.4583333333292,45.0000000000016,0.395632185579014
1238,118,-73.4166666666625,45.0000000000016,0.457553420226304
1239,118,-73.3749999999959,45.0000000000016,0.350379921328641
1240,118,-73.3333333333292,45.0000000000016,0.0860952753009218
1199,119,-75.0416666666627,44.958333333335,0.0320745212296599
1200,119,-74.999999999996,44.958333333335,0.152416270893489
1201,119,-74.9583333333293,44.958333333335,0.229680445918909
1202,119,-74.9166666666626,44.958333333335,0.439859740539154
1203,119,-74.874999999996,44.958333333335,0.43086554751075
1204,119,-74.8333333333293,44.958333333335,0.547154532775983
1205,119,-74.7916666666626,44.958333333335,0.51468600753627
1206,119,-74.749999999996,44.958333333335,0.533309705573057
1207,119,-74.7083333333293,44.958333333335,0.565849239278394
1208,119,-74.6666666666626,44.958333333335,0.537437764078365
1209,119,-74.624999999996,44.958333333335,0.57566276152675
1210,119,-74.5833333333293,44.958333333335,0.541615016842137
1211,119,-74.5416666666626,44.958333333335,0.388876498566553
1212,119,-74.499999999996,44.958333333335,0.399492143886948
1213,119,-74.4583333333293,44.958333333335,0.424287010963991
1214,119,-74.4166666666626,44.958333333335,0.42468069691067
1215,119,-74.3749999999959,44.958333333335,0.443485367020629
1216,119,-74.3333333333293,44.958333333335,0.519965608222859
1217,119,-74.2916666666626,44.958333333335,0.587387245750069
1218,119,-74.2499999999959,44.958333333335,0.550019913925034
1219,119,-74.2083333333293,44.958333333335,0.508430326842415
1220,119,-74.1666666666626,44.958333333335,0.448214790621829
1221,119,-74.1249999999959,44.958333333335,0.477269094927826
1222,119,-74.0833333333293,44.958333333335,0.429826793684221
1223,119,-74.0416666666626,44.958333333335,0.413941985515283
1224,119,-73.9999999999959,44.958333333335,0.5804213468435
1225,119,-73.9583333333293,44.958333333335,0.57187641616947
1226,119,-73.9166666666626,44.958333333335,0.587834111143983
1227,119,-73.8749999999959,44.958333333335,0.628104835707271
1228,119,-73.8333333333292,44.958333333335,0.554246702360738
1229,119,-73.7916666666626,44.958333333335,0.516476112353792
1230,119,-73.7499999999959,44.958333333335,0.57961662516434
1231,119,-73.7083333333292,44.958333333335,0.574813644708866
1232,119,-73.6666666666626,44.958333333335,0.502785035223826
1233,119,-73.6249999999959,44.958333333335,0.524759276876815
1234,119,-73.5833333333292,44.958333333335,0.454393677454432
1235,119,-73.5416666666625,44.958333333335,0.465922852889581
1236,119,-73.4999999999959,44.958333333335,0.487757975604498
1237,119,-73.4583333333292,44.958333333335,0.445072988941305
1238,119,-73.4166666666625,44.958333333335,0.292436405891278
1239,119,-73.3749999999959,44.958333333335,0.262926176380683
1240,119,-73.3333333333292,44.958333333335,0.0171026416319522
1196,120,-75.1666666666627,44.9166666666683,0
1197,120,-75.124999999996,44.9166666666683,0.0442255589373226
1198,120,-75.0833333333293,44.9166666666683,0.303021452282884
1199,120,-75.0416666666627,44.9166666666683,0.336389533966601
1200,120,-74.999999999996,44.9166666666683,0.49616906078823
1201,120,-74.9583333333293,44.9166666666683,0.54387860500771
1202,120,-74.9166666666626,44.9166666666683,0.512700306316018
1203,120,-74.874999999996,44.9166666666683,0.518000525668869
1204,120,-74.8333333333293,44.9166666666683,0.533037680165304
1205,120,-74.7916666666626,44.9166666666683,0.528442763773608
1206,120,-74.749999999996,44.9166666666683,0.543029758060668
1207,120,-74.7083333333293,44.9166666666683,0.559091810805416
1208,120,-74.6666666666626,44.9166666666683,0.550283232437273
