offspring_year,mean,std,min,max
2014,13.514,7.69,0.0,39.0
2015,13.511,7.247,0.0,40.0
2016,13.202,8.939,0.0,38.8
2017,12.346,8.221,0.0,39.8
2018,12.138,8.172,0.0,39.8
2019,14.423,8.334,0.0,40.0
