parameter,S1,S1_conf,ST,ST_conf
forage_threshold,0.09773619384989203,0.05314040639699932,0.14743500197850282,0.024178589749750443
temperature_threshold,0.6492424274115196,0.10386309568019515,0.7475518408350256,0.09213946990905612
precipitation_threshold,0.11325059697822837,0.05956532095445867,0.19266563872227585,0.03597990006762673
