offspring_year,mean,std,min,max
2014,13.072,5.6,0.888,31.45
2015,18.025,5.995,2.156,34.77
2016,14.545,5.498,0.0,33.535
2017,12.972,7.712,0.0,33.915
2018,12.377,6.105,0.0,31.875
2019,17.413,6.77,0.0,34.485
